"Date","Price","Open","High","Low","Change %"
"09/12/2017","0.215","0.215","0.215","0.215","-3.15%"
"09/11/2017","0.222","0.222","0.222","0.222","0.00%"
"09/08/2017","0.222","0.222","0.222","0.222","0.91%"
"09/07/2017","0.220","0.220","0.220","0.220","0.92%"
"09/06/2017","0.218","0.218","0.218","0.218","1.40%"
"09/05/2017","0.215","0.215","0.215","0.215","5.39%"
"09/04/2017","0.204","0.204","0.204","0.204","-0.97%"
"09/01/2017","0.206","0.206","0.206","0.206","-0.48%"
"08/31/2017","0.207","0.207","0.207","0.207","-0.96%"
"08/30/2017","0.209","0.209","0.209","0.209","12.97%"
"08/29/2017","0.185","0.185","0.185","0.185","0.00%"
"08/28/2017","0.185","0.185","0.185","0.185","-2.12%"
"08/25/2017","0.189","0.189","0.189","0.189","1.07%"
"08/24/2017","0.187","0.187","0.187","0.187","-1.06%"
"08/23/2017","0.189","0.189","0.189","0.189","-1.05%"
"08/22/2017","0.191","0.191","0.191","0.191","7.30%"
"08/21/2017","0.178","0.178","0.178","0.178","-5.82%"
"08/18/2017","0.189","0.189","0.189","0.189","1.07%"
"08/17/2017","0.187","0.187","0.187","0.187","-1.06%"
"08/16/2017","0.189","0.189","0.189","0.189","-1.05%"
"08/15/2017","0.191","0.191","0.191","0.191","2.14%"
"08/14/2017","0.187","0.187","0.187","0.187","-1.06%"
"08/11/2017","0.189","0.189","0.189","0.189","-1.05%"
"08/10/2017","0.191","0.191","0.191","0.191","-1.04%"
"08/09/2017","0.193","0.193","0.193","0.193","1.05%"
"08/08/2017","0.191","0.191","0.191","0.191","51.59%"
"08/07/2017","0.126","0.126","0.126","0.126","-9.35%"
"08/06/2017","0.139","0.139","0.139","0.139","0.00%"
"08/04/2017","0.139","0.139","0.139","0.139","-30.15%"
"08/03/2017","0.199","0.199","0.199","0.199","30.92%"
"08/02/2017","0.152","0.152","0.152","0.152","1.33%"
"08/01/2017","0.150","0.150","0.150","0.150","-1.96%"
"07/31/2017","0.153","0.153","0.153","0.153","6.25%"
"07/28/2017","0.144","0.144","0.144","0.144","-8.86%"
"07/27/2017","0.158","0.158","0.158","0.158","-17.28%"
"07/26/2017","0.191","0.191","0.191","0.191","5.52%"
"07/25/2017","0.181","0.181","0.181","0.181","0.00%"
"07/24/2017","0.181","0.181","0.181","0.181","-7.65%"
"07/21/2017","0.196","0.196","0.196","0.196","-2.00%"
"07/20/2017","0.200","0.200","0.200","0.200","-0.50%"
"07/19/2017","0.201","0.201","0.201","0.201","-5.19%"
"07/18/2017","0.212","0.212","0.212","0.212","2.91%"
"07/17/2017","0.206","0.206","0.206","0.206","0.00%"
"07/16/2017","0.206","0.206","0.206","0.206","0.00%"
"07/14/2017","0.206","0.206","0.206","0.206","-1.90%"
"07/13/2017","0.210","0.210","0.210","0.210","4.48%"
"07/12/2017","0.201","0.201","0.201","0.201","-5.19%"
"07/11/2017","0.212","0.212","0.212","0.212","2.91%"
"07/10/2017","0.206","0.206","0.206","0.206","-3.74%"
"07/07/2017","0.214","0.214","0.214","0.214","-1.83%"
"07/06/2017","0.218","0.218","0.218","0.218","-0.91%"
"07/05/2017","0.220","0.220","0.220","0.220","-0.45%"
"07/04/2017","0.221","0.221","0.221","0.221","3.76%"
"07/03/2017","0.213","0.213","0.213","0.213","2.90%"
"07/02/2017","0.207","0.207","0.207","0.207","0.00%"
"07/01/2017","0.207","0.207","0.207","0.207","0.00%"
"06/30/2017","0.207","0.207","0.207","0.207","-1.43%"
"06/29/2017","0.210","0.210","0.210","0.210","4.48%"
"06/28/2017","0.201","0.201","0.201","0.201","-0.50%"
"06/27/2017","0.202","0.202","0.202","0.202","-1.94%"
"06/26/2017","0.206","0.206","0.206","0.206","0.00%"
"06/25/2017","0.206","0.206","0.206","0.206","0.00%"
"06/23/2017","0.206","0.206","0.206","0.206","3.00%"
